,Date,All ArXiv,Astronomy Articles,Compiled,Marked & Compiled,Aligned
0,1991-07-01,2.0,,,,
1,1991-08-01,28.0,,,,
2,1991-09-01,58.0,,,,
3,1991-10-01,76.0,,,,
4,1991-11-01,64.0,,,,
5,1991-12-01,78.0,,,,
6,1992-01-01,192.0,,,,
7,1992-02-01,132.0,,,,
8,1992-03-01,119.0,,,,
9,1992-04-01,223.0,,,,
10,1992-05-01,236.0,,,,
11,1992-06-01,236.0,,,,
12,1992-07-01,292.0,,,,
13,1992-08-01,224.0,,,,
14,1992-09-01,330.0,,,,
15,1992-10-01,395.0,,,,
16,1992-11-01,444.0,,,,
17,1992-12-01,393.0,,,,
18,1993-01-01,397.0,,,,
19,1993-02-01,424.0,,,,
20,1993-03-01,492.0,1.0,1.0,,
21,1993-04-01,498.0,,,,
22,1993-05-01,526.0,,,,
23,1993-06-01,524.0,,,,
24,1993-07-01,616.0,,,,
25,1993-08-01,538.0,,,,
26,1993-09-01,507.0,,,,
27,1993-10-01,663.0,,,,
28,1993-11-01,706.0,1.0,1.0,,
29,1993-12-01,727.0,,,,
30,1994-01-01,604.0,1.0,1.0,,
31,1994-02-01,640.0,2.0,2.0,1.0,1.0
32,1994-03-01,735.0,,,,
33,1994-04-01,729.0,1.0,1.0,,
34,1994-05-01,830.0,,,,
35,1994-06-01,874.0,1.0,,,
36,1994-07-01,849.0,2.0,1.0,1.0,1.0
37,1994-08-01,757.0,2.0,2.0,,
38,1994-09-01,872.0,1.0,1.0,,
39,1994-10-01,924.0,1.0,,,
40,1994-11-01,1102.0,,,,
41,1994-12-01,1039.0,2.0,2.0,,
42,1995-01-01,931.0,4.0,4.0,,
43,1995-02-01,971.0,,,,
44,1995-03-01,1167.0,,,,
45,1995-04-01,912.0,,,,
46,1995-05-01,1105.0,,,,
47,1995-06-01,1191.0,,,,
48,1995-07-01,1015.0,,,,
49,1995-08-01,1029.0,,,,
50,1995-09-01,1125.0,4.0,2.0,2.0,2.0
51,1995-10-01,1229.0,,,,
52,1995-11-01,1157.0,7.0,6.0,2.0,2.0
53,1995-12-01,1146.0,,,,
54,1996-01-01,1050.0,,,,
55,1996-02-01,1072.0,,,,
56,1996-03-01,1167.0,,,,
57,1996-04-01,1216.0,,,,
58,1996-05-01,1355.0,,,,
59,1996-06-01,1308.0,19.0,16.0,1.0,1.0
60,1996-07-01,1422.0,,,,
61,1996-08-01,1390.0,25.0,23.0,5.0,5.0
62,1996-09-01,1472.0,,,,
63,1996-10-01,1514.0,35.0,27.0,4.0,4.0
64,1996-11-01,1399.0,23.0,21.0,2.0,2.0
65,1996-12-01,1465.0,,,,
66,1997-01-01,1307.0,24.0,20.0,3.0,3.0
67,1997-02-01,1356.0,35.0,31.0,9.0,9.0
68,1997-03-01,1404.0,,,,
69,1997-04-01,1464.0,31.0,29.0,7.0,7.0
70,1997-05-01,1574.0,27.0,22.0,,
71,1997-06-01,1701.0,55.0,41.0,6.0,6.0
72,1997-07-01,1796.0,92.0,77.0,17.0,17.0
73,1997-08-01,1421.0,58.0,51.0,13.0,13.0
74,1997-09-01,1879.0,89.0,83.0,23.0,23.0
75,1997-10-01,2003.0,78.0,67.0,15.0,15.0
76,1997-11-01,1702.0,69.0,53.0,9.0,9.0
77,1997-12-01,1942.0,88.0,74.0,7.0,7.0
78,1998-01-01,1718.0,87.0,75.0,7.0,7.0
79,1998-02-01,1655.0,75.0,61.0,10.0,10.0
80,1998-03-01,1894.0,102.0,81.0,18.0,18.0
81,1998-04-01,1738.0,69.0,58.0,7.0,7.0
82,1998-05-01,1906.0,88.0,77.0,14.0,14.0
83,1998-06-01,2071.0,127.0,111.0,17.0,17.0
84,1998-07-01,2078.0,121.0,98.0,23.0,23.0
85,1998-08-01,1811.0,91.0,69.0,13.0,13.0
86,1998-09-01,2392.0,137.0,116.0,21.0,21.0
87,1998-10-01,2312.0,152.0,127.0,27.0,30.0
88,1998-11-01,2221.0,127.0,107.0,19.0,21.0
89,1998-12-01,2183.0,189.0,160.0,34.0,34.0
90,1999-01-01,1843.0,89.0,75.0,13.0,14.0
91,1999-02-01,1897.0,71.0,63.0,12.0,12.0
92,1999-03-01,2369.0,188.0,160.0,31.0,31.0
93,1999-04-01,2139.0,105.0,87.0,27.0,27.0
94,1999-05-01,2205.0,132.0,111.0,23.0,23.0
95,1999-06-01,2413.0,148.0,125.0,27.0,28.0
96,1999-07-01,2398.0,105.0,87.0,20.0,20.0
97,1999-08-01,2112.0,155.0,118.0,34.0,34.0
98,1999-09-01,2482.0,153.0,125.0,27.0,27.0
99,1999-10-01,2561.0,156.0,122.0,25.0,25.0
100,1999-11-01,2488.0,213.0,176.0,42.0,42.0
101,1999-12-01,2564.0,162.0,128.0,34.0,34.0
102,2000-01-01,2345.0,272.0,143.0,30.0,30.0
103,2000-02-01,2351.0,262.0,142.0,33.0,33.0
104,2000-03-01,2576.0,261.0,124.0,27.0,27.0
105,2000-04-01,2061.0,215.0,98.0,25.0,25.0
